{ questions: [{prompt: '134 + 864  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 46517, a: 134 , b: 864 , c: 998 }}, 
{ questions: [{prompt: '272 + 623  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 40139, a: 272 , b: 623 , c: 895 }}, 
{ questions: [{prompt: '112 + 287  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 19421, a: 112 , b: 287 , c: 399 }}, 
{ questions: [{prompt: '314 + 214  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11628, a: 314 , b: 214 , c: 528 }}, 
{ questions: [{prompt: '748 + 231  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 14468, a: 748 , b: 231 , c: 979 }}, 
{ questions: [{prompt: '715 + 213  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11501, a: 715 , b: 213 , c: 928 }}, 
{ questions: [{prompt: '271 + 113  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 1045, a: 271 , b: 113 , c: 384 }}, 
{ questions: [{prompt: '473 + 423  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29346, a: 473 , b: 423 , c: 896 }}, 
{ questions: [{prompt: '221 + 724  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 43679, a: 221 , b: 724 , c: 945 }}, 
{ questions: [{prompt: '535 + 123  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 3329, a: 535 , b: 123 , c: 658 }}, 
{ questions: [{prompt: '425 + 354  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 25630, a: 425 , b: 354 , c: 779 }}, 
{ questions: [{prompt: '411 + 587  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 38875, a: 411 , b: 587 , c: 998 }}, 
{ questions: [{prompt: '214 + 213  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11260, a: 214 , b: 213 , c: 427 }}, 
{ questions: [{prompt: '181 + 212  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 10866, a: 181 , b: 212 , c: 393 }}, 
{ questions: [{prompt: '131 + 654  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 41951, a: 131 , b: 654 , c: 785 }}, 
{ questions: [{prompt: '234 + 235  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 15276, a: 234 , b: 235 , c: 469 }}, 
{ questions: [{prompt: '771 + 221  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 12769, a: 771 , b: 221 , c: 992 }}, 
{ questions: [{prompt: '115 + 373  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 26753, a: 115 , b: 373 , c: 488 }}, 
{ questions: [{prompt: '431 + 457  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 32585, a: 431 , b: 457 , c: 888 }}, 
{ questions: [{prompt: '288 + 311  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 19568, a: 288 , b: 311 , c: 599 }}, 
{ questions: [{prompt: '666 + 331  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 22966, a: 666 , b: 331 , c: 997 }}, 
{ questions: [{prompt: '263 + 722  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 43543, a: 263 , b: 722 , c: 985 }}, 
{ questions: [{prompt: '618 + 171  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 9592, a: 618 , b: 171 , c: 789 }}, 
{ questions: [{prompt: '666 + 121  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 2630, a: 666 , b: 121 , c: 787 }}, 
{ questions: [{prompt: '524 + 464  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 33000, a: 524 , b: 464 , c: 988 }}, 
{ questions: [{prompt: '263 + 316  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 20922, a: 263 , b: 316 , c: 579 }}, 
{ questions: [{prompt: '432 + 426  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29777, a: 432 , b: 426 , c: 858 }}, 
{ questions: [{prompt: '121 + 661  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 42129, a: 121 , b: 661 , c: 782 }}, 
{ questions: [{prompt: '442 + 326  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 22502, a: 442 , b: 326 , c: 768 }}, 
{ questions: [{prompt: '117 + 172  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 9639, a: 117 , b: 172 , c: 289 }}, 
{ questions: [{prompt: '314 + 284  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 19349, a: 314 , b: 284 , c: 598 }}, 
{ questions: [{prompt: '727 + 272  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 18894, a: 727 , b: 272 , c: 999 }}, 
{ questions: [{prompt: '113 + 583  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 38799, a: 113 , b: 583 , c: 696 }}, 
{ questions: [{prompt: '434 + 435  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 30780, a: 434 , b: 435 , c: 869 }}, 
{ questions: [{prompt: '717 + 212  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11159, a: 717 , b: 212 , c: 929 }}, 
{ questions: [{prompt: '153 + 336  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 23775, a: 153 , b: 336 , c: 489 }}, 
{ questions: [{prompt: '114 + 263  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 18247, a: 114 , b: 263 , c: 377 }}, 
{ questions: [{prompt: '355 + 323  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 21911, a: 355 , b: 323 , c: 678 }}, 
{ questions: [{prompt: '284 + 411  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 27340, a: 284 , b: 411 , c: 695 }}, 
{ questions: [{prompt: '821 + 153  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 8143, a: 821 , b: 153 , c: 974 }}, 
{ questions: [{prompt: '416 + 522  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 35225, a: 416 , b: 522 , c: 938 }}, 
{ questions: [{prompt: '415 + 574  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 38651, a: 415 , b: 574 , c: 989 }}, 
{ questions: [{prompt: '142 + 253  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 17360, a: 142 , b: 253 , c: 395 }}, 
{ questions: [{prompt: '314 + 111  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 132, a: 314 , b: 111 , c: 425 }}, 
{ questions: [{prompt: '221 + 436  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 30838, a: 221 , b: 436 , c: 657 }}, 
{ questions: [{prompt: '113 + 543  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 37023, a: 113 , b: 543 , c: 656 }}, 
{ questions: [{prompt: '211 + 226  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 13876, a: 211 , b: 226 , c: 437 }}, 
{ questions: [{prompt: '446 + 222  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 12950, a: 446 , b: 222 , c: 668 }}, 
{ questions: [{prompt: '253 + 624  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 40243, a: 253 , b: 624 , c: 877 }}, 
{ questions: [{prompt: '521 + 356  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 25828, a: 521 , b: 356 , c: 877 }}, 
{ questions: [{prompt: '114 + 334  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 23440, a: 114 , b: 334 , c: 448 }}, 
{ questions: [{prompt: '345 + 231  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 14273, a: 345 , b: 231 , c: 576 }}, 
{ questions: [{prompt: '133 + 333  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 23235, a: 133 , b: 333 , c: 466 }}, 
{ questions: [{prompt: '437 + 331  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 22847, a: 437 , b: 331 , c: 768 }}, 
{ questions: [{prompt: '344 + 341  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 24084, a: 344 , b: 341 , c: 685 }}, 
{ questions: [{prompt: '752 + 136  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 5882, a: 752 , b: 136 , c: 888 }}, 
{ questions: [{prompt: '245 + 442  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 31257, a: 245 , b: 442 , c: 687 }}, 
{ questions: [{prompt: '222 + 313  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 20216, a: 222 , b: 313 , c: 535 }}, 
{ questions: [{prompt: '463 + 113  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 1137, a: 463 , b: 113 , c: 576 }}, 
{ questions: [{prompt: '227 + 451  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 31943, a: 227 , b: 451 , c: 678 }}, 
{ questions: [{prompt: '723 + 213  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11505, a: 723 , b: 213 , c: 936 }}, 
{ questions: [{prompt: '711 + 142  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 6579, a: 711 , b: 142 , c: 853 }}, 
{ questions: [{prompt: '122 + 532  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 36057, a: 122 , b: 532 , c: 654 }}, 
{ questions: [{prompt: '212 + 536  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 36596, a: 212 , b: 536 , c: 748 }}, 
{ questions: [{prompt: '441 + 342  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 24343, a: 441 , b: 342 , c: 783 }}, 
{ questions: [{prompt: '211 + 785  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 45345, a: 211 , b: 785 , c: 996 }}, 
{ questions: [{prompt: '361 + 632  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 40764, a: 361 , b: 632 , c: 993 }}, 
{ questions: [{prompt: '762 + 216  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 12209, a: 762 , b: 216 , c: 978 }}, 
{ questions: [{prompt: '322 + 653  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 41924, a: 322 , b: 653 , c: 975 }}, 
{ questions: [{prompt: '321 + 666  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 42412, a: 321 , b: 666 , c: 987 }}, 
{ questions: [{prompt: '145 + 311  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 19469, a: 145 , b: 311 , c: 456 }}, 
{ questions: [{prompt: '111 + 227  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 14002, a: 111 , b: 227 , c: 338 }}, 
{ questions: [{prompt: '444 + 423  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29329, a: 444 , b: 423 , c: 867 }}, 
{ questions: [{prompt: '831 + 167  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 9479, a: 831 , b: 167 , c: 998 }}, 
{ questions: [{prompt: '311 + 665  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 42379, a: 311 , b: 665 , c: 976 }}, 
{ questions: [{prompt: '531 + 456  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 32551, a: 531 , b: 456 , c: 987 }}, 
{ questions: [{prompt: '155 + 642  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 41301, a: 155 , b: 642 , c: 797 }}, 
{ questions: [{prompt: '661 + 125  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 3921, a: 661 , b: 125 , c: 786 }}, 
{ questions: [{prompt: '313 + 426  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29751, a: 313 , b: 426 , c: 739 }}, 
{ questions: [{prompt: '615 + 223  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 13334, a: 615 , b: 223 , c: 838 }}, 
{ questions: [{prompt: '263 + 126  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 4023, a: 263 , b: 126 , c: 389 }}, 
{ questions: [{prompt: '522 + 152  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 7865, a: 522 , b: 152 , c: 674 }}, 
{ questions: [{prompt: '135 + 762  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 44995, a: 135 , b: 762 , c: 897 }}, 
{ questions: [{prompt: '342 + 625  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 40360, a: 342 , b: 625 , c: 967 }}, 
{ questions: [{prompt: '553 + 116  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 2031, a: 553 , b: 116 , c: 669 }}, 
{ questions: [{prompt: '836 + 113  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 1314, a: 836 , b: 113 , c: 949 }}, 
{ questions: [{prompt: '242 + 212  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 10895, a: 242 , b: 212 , c: 454 }}, 
{ questions: [{prompt: '256 + 131  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 4406, a: 256 , b: 131 , c: 387 }}, 
{ questions: [{prompt: '113 + 241  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 15663, a: 113 , b: 241 , c: 354 }}, 
{ questions: [{prompt: '326 + 522  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 35183, a: 326 , b: 522 , c: 848 }}, 
{ questions: [{prompt: '557 + 242  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 16115, a: 557 , b: 242 , c: 799 }}, 
{ questions: [{prompt: '443 + 213  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11373, a: 443 , b: 213 , c: 656 }}, 
{ questions: [{prompt: '233 + 214  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 11597, a: 233 , b: 214 , c: 447 }}, 
{ questions: [{prompt: '321 + 236  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 15448, a: 321 , b: 236 , c: 557 }}, 
{ questions: [{prompt: '421 + 134  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 5424, a: 421 , b: 134 , c: 555 }}, 
{ questions: [{prompt: '235 + 453  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 32237, a: 235 , b: 453 , c: 688 }}, 
{ questions: [{prompt: '532 + 422  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29148, a: 532 , b: 422 , c: 954 }}, 
{ questions: [{prompt: '261 + 632  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 40722, a: 261 , b: 632 , c: 893 }}, 
{ questions: [{prompt: '331 + 527  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 35805, a: 331 , b: 527 , c: 858 }}, 
{ questions: [{prompt: '131 + 721  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 43361, a: 131 , b: 721 , c: 852 }}, 
{ questions: [{prompt: '565 + 434  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 30696, a: 565 , b: 434 , c: 999 }}, 
{ questions: [{prompt: '314 + 345  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 24800, a: 314 , b: 345 , c: 659 }}, 
{ questions: [{prompt: '531 + 446  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 31813, a: 531 , b: 446 , c: 977 }}, 
{ questions: [{prompt: '234 + 255  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 17676, a: 234 , b: 255 , c: 489 }}, 
{ questions: [{prompt: '288 + 211  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 10496, a: 288 , b: 211 , c: 499 }}, 
{ questions: [{prompt: '613 + 151  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 7651, a: 613 , b: 151 , c: 764 }}, 
{ questions: [{prompt: '254 + 134  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 5382, a: 254 , b: 134 , c: 388 }}, 
{ questions: [{prompt: '172 + 117  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 2126, a: 172 , b: 117 , c: 289 }}, 
{ questions: [{prompt: '215 + 131  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 4373, a: 215 , b: 131 , c: 346 }}, 
{ questions: [{prompt: '513 + 323  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 21969, a: 513 , b: 323 , c: 836 }}, 
{ questions: [{prompt: '723 + 215  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 12023, a: 723 , b: 215 , c: 938 }}, 
{ questions: [{prompt: '362 + 615  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 39590, a: 362 , b: 615 , c: 977 }}, 
{ questions: [{prompt: '536 + 412  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 27780, a: 536 , b: 412 , c: 948 }}, 
{ questions: [{prompt: '222 + 122  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 2810, a: 222 , b: 122 , c: 344 }}, 
{ questions: [{prompt: '233 + 425  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29605, a: 233 , b: 425 , c: 658 }}, 
{ questions: [{prompt: '361 + 228  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 14119, a: 361 , b: 228 , c: 589 }}, 
{ questions: [{prompt: '651 + 223  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 13354, a: 651 , b: 223 , c: 874 }}, 
{ questions: [{prompt: '234 + 424  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 29440, a: 234 , b: 424 , c: 658 }}, 
{ questions: [{prompt: '774 + 215  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 12044, a: 774 , b: 215 , c: 989 }}, 
{ questions: [{prompt: '356 + 311  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 19606, a: 356 , b: 311 , c: 667 }}, 
{ questions: [{prompt: '131 + 738  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 44271, a: 131 , b: 738 , c: 869 }}, 
{ questions: [{prompt: '111 + 687  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 42760, a: 111 , b: 687 , c: 798 }}, 
{ questions: [{prompt: '455 + 324  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 22180, a: 455 , b: 324 , c: 779 }}, 
{ questions: [{prompt: '472 + 125  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 3870, a: 472 , b: 125 , c: 597 }}, 
{ questions: [{prompt: '324 + 513  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 34282, a: 324 , b: 513 , c: 837 }}, 
{ questions: [{prompt: '452 + 313  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 20330, a: 452 , b: 313 , c: 765 }}, 
{ questions: [{prompt: '157 + 642  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 41303, a: 157 , b: 642 , c: 799 }}, 
{ questions: [{prompt: '741 + 222  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 13092, a: 741 , b: 222 , c: 963 }}, 
{ questions: [{prompt: '144 + 342  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 24241, a: 144 , b: 342 , c: 486 }}, 
{ questions: [{prompt: '433 + 252  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 17245, a: 433 , b: 252 , c: 685 }}, 
{ questions: [{prompt: '621 + 373  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 26815, a: 621 , b: 373 , c: 994 }}, 
{ questions: [{prompt: '463 + 415  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 28375, a: 463 , b: 415 , c: 878 }}, 
{ questions: [{prompt: '531 + 221  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 12625, a: 531 , b: 221 , c: 752 }}, 
{ questions: [{prompt: '234 + 124  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 3529, a: 234 , b: 124 , c: 358 }}, 
{ questions: [{prompt: '383 + 216  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 12120, a: 383 , b: 216 , c: 599 }}, 
{ questions: [{prompt: '453 + 445  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 31725, a: 453 , b: 445 , c: 898 }}, 
{ questions: [{prompt: '173 + 715  = ?', rows: 1, placeholder: 'Hier Ergebnis eintragen'}], data: { item_id: 43211, a: 173 , b: 715 , c: 888 }}, 
